m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-5.629996854733863e-05,0.0012953897457342635,-1.7835094996125828e-05,0.0038484154814667736,0.0008361068074908878,0.017936759424612383,0.011873215307506051,0.10976360196712298,0.1357457430946187,0.8141612144015453
-5.7500159465004605e-05,0.0012426600739841368,-4.687886714004724e-05,0.0033165125428275856,0.00034167882278947326,0.013189956867078925,0.00508342497714241,0.06591514153899433,0.051355624222354165,0.38641929985046586
-5.8185201176615906e-05,0.0012037214605934079,-6.222954836872516e-05,0.0029491075437485014,0.00011951104767103895,0.010366537545318527,0.0023689879962346286,0.04430997161867697,0.02188090882657942,0.21550811681476245
-5.864444261019191e-05,0.0011714517628144622,-7.031952579324659e-05,0.0026759666153785937,5.822549217448697e-06,0.008560990406518827,0.0011467963807356334,0.03274224803702518,0.010608347489024386,0.14033237511592042
-5.690683198645054e-05,0.001141029422401624,-6.32725308852022e-05,0.0024411637099141514,-9.678719867362034e-06,0.007169899063303794,0.0007429759460770752,0.024888530311892906,0.0065525834500149895,0.0960995723688143
-5.827567550409497e-05,0.0011148491480791531,-6.608979786497537e-05,0.002253098745460388,-4.4838786616898185e-05,0.00614815801676052,0.00039093446946632547,0.019644990642055087,0.003764579636656791,0.06943117699546646
-6.054074420145576e-05,0.0010939204894956872,-7.152231773270237e-05,0.0021188504621332807,-7.443326728296618e-05,0.005487123866769501,0.00019148685923313258,0.016571446514371285,0.00244727790855468,0.055249691585392675
-5.9813178220089536e-05,0.0010734983566497646,-7.486057443015455e-05,0.001986232816178567,-0.00010261524937000158,0.004841320410193683,-1.583602279854907e-05,0.013625014199625241,0.0010793999029624463,0.041974224400913675
-5.917675798606168e-05,0.0010557272645157986,-7.21328744656443e-05,0.0018776630632036445,-0.00010252274258634954,0.004359133782140391,-6.999266868672934e-05,0.011631014450122351,0.0006096417995409447,0.03384454746714608
-5.685487534061885e-05,0.0010412879102917826,-6.563275324102173e-05,0.0017885785380552651,-8.797025880807455e-05,0.0039770183386712045,-5.408985073735185e-05,0.010128118055396512,0.0005060575794942144,0.028100964279417388
-5.7615547971216325e-05,0.0010253017873082574,-6.946751964283318e-05,0.001695902442915478,-0.00010933906597153079,0.003590120689077674,-0.00016660944228944779,0.008643694766563069,-6.359852734511594e-05,0.02254684293840021
-5.780054538315191e-05,0.0010093076555436778,-6.396622284240676e-05,0.0016133296981168692,-9.05327226277788e-05,0.003279048833098208,-0.00011988184117930929,0.007559562127379024,7.41550329646801e-06,0.018848083539780406
-5.6498338282927224e-05,0.0009995278501256488,-6.207648330454875e-05,0.0015544134513423684,-9.103964701265255e-05,0.0030527530726247795,-0.00013989983397657757,0.0067809368141510465,-0.00011314078009199766,0.01627336523999334
-5.570856763773632e-05,0.0009895864621913442,-5.974012831709399e-05,0.0014964257445507815,-8.025184253181552e-05,0.002833402925616951,-0.00010149389435523353,0.006040408623525634,-5.8570470932423866e-06,0.013875786005802436
-5.551148897734053e-05,0.0009766759248929428,-5.998979979737225e-05,0.0014386423206211555,-8.612711086197792e-05,0.002641763156727229,-0.00013311559088630863,0.005449894623772747,-0.00014546349821414979,0.012091554799729771
-5.4995992549123306e-05,0.0009702327829029779,-5.9299328388031566e-05,0.0014016678523589103,-8.161611757377916e-05,0.0025125849725968585,-0.00011467354219447763,0.005052754840838835,-8.89028729483855e-05,0.010926133530381845
-5.442792996298493e-05,0.0009636431623022568,-5.751602300661101e-05,0.001366467543181597,-8.074151840295747e-05,0.002394966314451502,-0.00012975440045709152,0.004699099318172782,-0.00018175463029417756,0.009898330966426469
-5.507154560219202e-05,0.0009575420204755721,-5.5127115327735334e-05,0.001335511233000961,-7.225490818637212e-05,0.002295012921907651,-0.00011003043081308386,0.004409198870024028,-0.00015084853269164446,0.00908506609443861
-5.7347253042189814e-05,0.0009480981807104641,-5.793963299048736e-05,0.0012990896726532187,-7.584257572225958e-05,0.0021803581004423214,-0.00011784180626681088,0.004073050860463334,-0.00018134938457972487,0.008130870817390069
