permno,indno,mbrstartdt,mbrenddt,mbrflg,indfam
17435,1000500,1970-04-23,1984-04-11,NORM,1100500
17451,1000500,1957-03-01,1967-06-28,NORM,1100500
17478,1000500,1957-03-01,2025-10-31,NORM,1100500
17486,1000500,1957-03-01,1961-08-02,NORM,1100500
17515,1000500,1957-03-01,1968-05-22,NORM,1100500
17558,1000500,1957-03-01,1979-07-27,NORM,1100500
17566,1000500,1957-03-01,1998-11-23,NORM,1100500
17582,1000500,1957-03-01,1963-08-28,NORM,1100500
17590,1000500,1957-03-01,1987-08-05,NORM,1100500
17603,1000500,1957-03-01,1960-10-26,NORM,1100500
17646,1000500,1957-03-01,1981-06-24,NORM,1100500
17654,1000500,1957-03-01,1967-09-27,NORM,1100500
17676,1000500,2018-05-01,2018-05-01,NORM,1100500
17689,1000500,1957-03-01,1964-01-15,NORM,1100500
17700,1000500,2021-09-20,2025-10-31,NORM,1100500
17718,1000500,1957-03-01,1968-04-03,NORM,1100500
17726,1000500,1957-03-01,2000-12-08,NORM,1100500
17742,1000500,1957-03-01,1960-02-24,NORM,1100500
17743,1000500,2019-12-05,2025-10-31,NORM,1100500
17750,1000500,1957-03-01,2025-10-31,NORM,1100500
17783,1000500,2018-05-09,2018-05-09,NORM,1100500
17806,1000500,1957-03-01,2007-03-19,NORM,1100500
17830,1000500,1957-03-01,2025-10-31,NORM,1100500
17849,1000500,1944-06-07,1947-02-26,NORM,1100500
17881,1000500,1957-03-01,1963-01-30,NORM,1100500
17929,1000500,1929-08-01,1951-09-06,NORM,1100500
17942,1000500,2022-06-21,2025-10-31,NORM,1100500
17953,1000500,1957-03-01,1986-04-23,NORM,1100500
17961,1000500,1968-04-04,2001-04-02,NORM,1100500
18016,1000500,1957-03-01,2008-11-13,NORM,1100500
18032,1000500,1957-03-01,1995-12-12,NORM,1100500
18065,1000500,2018-10-01,2018-10-01,NORM,1100500
18067,1000500,1957-03-01,1995-11-30,NORM,1100500
18091,1000500,1957-03-01,1970-04-22,NORM,1100500
18092,1000500,1990-08-23,2007-07-11,NORM,1100500
18112,1000500,1957-03-01,2000-01-28,NORM,1100500
18142,1000500,2018-10-29,2018-10-29,NORM,1100500
18143,1000500,2018-10-31,2025-10-31,NORM,1100500
18147,1000500,1957-03-01,1999-04-09,NORM,1100500
18163,1000500,1957-03-01,2025-10-31,NORM,1100500
18171,1000500,1957-03-01,1959-04-01,NORM,1100500
18198,1000500,1941-08-20,1944-06-07,NORM,1100500
18267,1000500,2024-09-23,2025-10-31,NORM,1100500
18278,1000500,1957-03-01,1990-12-04,NORM,1100500
18312,1000500,2021-07-21,2025-10-31,NORM,1100500
18315,1000500,1957-03-01,1982-09-15,NORM,1100500
18327,1000500,2019-02-08,2019-02-08,NORM,1100500
18331,1000500,1958-09-24,1978-05-03,NORM,1100500
18366,1000500,1957-03-01,1961-09-20,NORM,1100500
18374,1000500,1958-01-02,1999-12-01,NORM,1100500
18382,1000500,1950-07-03,2003-04-15,NORM,1100500
18390,1000500,1961-06-21,1968-11-06,NORM,1100500
18403,1000500,1957-03-01,2013-11-29,NORM,1100500
18411,1000500,1944-06-07,2025-10-31,NORM,1100500
18420,1000500,2019-03-19,2025-10-31,NORM,1100500
18421,1000500,2019-03-19,2025-10-31,NORM,1100500
18428,1000500,2019-04-02,2025-10-31,NORM,1100500
18446,1000500,1957-03-01,1995-05-19,NORM,1100500
18454,1000500,1957-03-01,1961-08-09,NORM,1100500
18542,1000500,1941-08-20,1954-04-20,NORM,1100500
18542,1000500,1957-03-01,2025-10-31,NORM,1100500
18550,1000500,1957-03-01,1988-05-04,NORM,1100500
18551,1000500,1991-02-13,1997-01-06,NORM,1100500
18569,1000500,1957-03-01,1988-05-04,NORM,1100500
18576,1000500,2023-12-18,2025-10-31,NORM,1100500
18578,1000500,2019-05-23,2019-05-23,NORM,1100500
18585,1000500,1957-03-01,1960-12-14,NORM,1100500
18592,1000500,2019-06-03,2025-10-31,NORM,1100500
18649,1000500,1957-07-03,1996-01-19,NORM,1100500
18681,1000500,1957-03-01,1963-03-13,NORM,1100500
18681,1000500,1964-02-20,2002-12-11,NORM,1100500
18724,1000500,2019-06-11,2025-10-31,NORM,1100500
18726,1000500,2024-06-24,2025-10-31,NORM,1100500
18729,1000500,1957-03-01,2025-10-31,NORM,1100500
18825,1000500,1957-03-01,1976-01-14,NORM,1100500
18841,1000500,1957-03-01,1968-04-03,NORM,1100500
18868,1000500,1944-06-07,1947-02-26,NORM,1100500
18884,1000500,1957-03-01,1982-06-16,NORM,1100500
18911,1000500,2025-07-09,2025-10-31,NORM,1100500
18921,1000500,1957-03-01,2000-05-04,NORM,1100500
18948,1000500,1957-03-01,1996-12-06,NORM,1100500
18980,1000500,1957-03-01,1976-06-30,NORM,1100500
18999,1000500,1957-03-01,1989-12-15,NORM,1100500
19019,1000500,1944-06-07,1950-06-30,NORM,1100500
19019,1000500,1957-03-01,1983-09-12,NORM,1100500
19027,1000500,1944-06-07,1987-02-25,NORM,1100500
19051,1000500,1979-03-01,1999-07-21,NORM,1100500
19107,1000500,1957-03-01,1964-02-19,NORM,1100500
19131,1000500,1941-08-20,1992-02-07,NORM,1100500
19166,1000500,1964-02-20,2001-12-31,NORM,1100500
19166,1000500,2009-08-19,2025-03-21,NORM,1100500
19174,1000500,1957-03-01,1971-08-18,NORM,1100500
19203,1000500,1941-08-20,1947-02-26,NORM,1100500
19203,1000500,1957-03-01,1967-04-26,NORM,1100500
19211,1000500,1957-03-01,1968-11-06,NORM,1100500
19238,1000500,1957-03-01,1985-04-17,NORM,1100500
19254,1000500,1957-03-01,1998-09-30,NORM,1100500
19270,1000500,1957-03-01,1967-04-12,NORM,1100500
19285,1000500,2020-04-03,2025-10-31,NORM,1100500
19286,1000500,2020-04-03,2025-10-31,NORM,1100500
19297,1000500,1957-03-01,1982-06-23,NORM,1100500
19334,1000500,1957-03-01,1980-10-01,NORM,1100500
19350,1000500,1957-03-01,2025-10-31,NORM,1100500
19377,1000500,1957-03-01,1998-06-30,NORM,1100500
19385,1000500,1944-06-07,1968-09-10,NORM,1100500
19393,1000500,1957-03-01,2025-10-31,NORM,1100500
19414,1000500,1967-10-05,1984-02-29,NORM,1100500
19430,1000500,1957-03-01,1973-05-30,NORM,1100500
19502,1000500,1979-10-11,2025-08-27,NORM,1100500
19510,1000500,1957-03-01,1972-09-13,NORM,1100500
19537,1000500,1925-12-31,1991-09-19,NORM,1100500
19553,1000500,1957-03-01,1998-12-31,NORM,1100500
19561,1000500,1957-03-01,2025-10-31,NORM,1100500
19583,1000500,2008-08-21,2025-10-31,NORM,1100500
19589,1000500,1991-05-22,1995-08-17,NORM,1100500
19596,1000500,1941-08-20,1994-07-12,NORM,1100500
19617,1000500,1957-03-01,1976-06-30,NORM,1100500
19625,1000500,1957-03-01,1961-06-21,NORM,1100500
19668,1000500,1957-03-01,1965-01-06,NORM,1100500
19684,1000500,1957-03-01,1969-08-06,NORM,1100500
19692,1000500,1957-03-01,2000-11-16,NORM,1100500
19713,1000500,1957-03-01,1984-08-15,NORM,1100500
19721,1000500,1989-08-24,1996-08-15,NORM,1100500
19756,1000500,1957-03-01,1976-01-14,NORM,1100500
19764,1000500,1957-03-01,1965-11-03,NORM,1100500
19764,1000500,1966-01-06,1970-03-18,NORM,1100500
19772,1000500,1957-03-01,1966-05-18,NORM,1100500
19788,1000500,2024-09-23,2025-10-31,NORM,1100500
19807,1000500,2020-10-09,2021-03-19,NORM,1100500
19828,1000500,1957-03-01,1967-11-08,NORM,1100500
19836,1000500,1957-03-01,1961-06-21,NORM,1100500
19844,1000500,1957-03-01,1967-05-17,NORM,1100500
19879,1000500,1957-12-04,1978-07-19,NORM,1100500
19887,1000500,1957-03-01,1982-10-06,NORM,1100500
19895,1000500,1957-03-01,2002-01-29,NORM,1100500
19916,1000500,1957-03-01,2000-12-08,NORM,1100500
19932,1000500,1957-03-01,1968-08-06,NORM,1100500
19940,1000500,1957-03-01,1980-04-09,NORM,1100500
19959,1000500,1957-03-01,1958-04-09,NORM,1100500
19967,1000500,1957-03-01,1962-10-24,NORM,1100500
20001,1000500,1957-03-01,1970-11-18,NORM,1100500
20036,1000500,1957-03-01,1967-02-21,NORM,1100500
20053,1000500,1997-11-28,2007-12-31,NORM,1100500
20057,1000500,2020-11-17,2025-10-31,NORM,1100500
20079,1000500,1957-03-01,1991-05-21,NORM,1100500
20095,1000500,1957-03-01,1976-12-08,NORM,1100500
20108,1000500,1957-03-01,1957-06-19,NORM,1100500
20124,1000500,1957-03-01,2003-03-28,NORM,1100500
20167,1000500,1957-03-01,1980-01-16,NORM,1100500
20189,1000500,2025-03-24,2025-10-31,NORM,1100500
20190,1000500,2023-09-18,2025-10-31,NORM,1100500
20191,1000500,2020-12-15,2020-12-18,NORM,1100500
20204,1000500,1957-03-01,2004-12-17,NORM,1100500
20220,1000500,1976-01-15,2010-03-12,NORM,1100500
20239,1000500,1957-03-01,1983-11-30,NORM,1100500
20263,1000500,1957-03-01,1985-05-08,NORM,1100500
20298,1000500,1957-03-01,1964-05-13,NORM,1100500
20343,1000500,1968-07-18,1988-04-13,NORM,1100500
20386,1000500,1957-03-01,1984-05-16,NORM,1100500
20391,1000500,2024-11-26,2025-10-31,NORM,1100500
20394,1000500,1973-03-01,1996-09-30,NORM,1100500
20407,1000500,1957-03-01,1983-08-31,NORM,1100500
20415,1000500,1961-09-06,1963-09-18,NORM,1100500
20415,1000500,1969-07-03,1976-06-30,NORM,1100500
20415,1000500,2007-08-27,2019-09-25,NORM,1100500
20431,1000500,1957-03-01,1969-07-02,NORM,1100500
20474,1000500,1966-10-13,1974-05-08,NORM,1100500
20482,1000500,1957-03-01,2025-10-31,NORM,1100500
20503,1000500,1957-06-19,1965-09-29,NORM,1100500
20511,1000500,1957-03-01,1965-01-13,NORM,1100500
20554,1000500,1957-03-01,1958-04-09,NORM,1100500
20562,1000500,1957-03-01,1995-03-15,NORM,1100500
20570,1000500,1957-03-01,1986-05-07,NORM,1100500
20583,1000500,2025-03-24,2025-10-31,NORM,1100500
20626,1000500,1954-04-20,2017-08-31,NORM,1100500
20650,1000500,1957-03-01,1958-03-12,NORM,1100500
20677,1000500,1957-03-01,1987-09-09,NORM,1100500
20714,1000500,1957-03-01,1964-02-19,NORM,1100500
20730,1000500,1957-03-01,1995-11-24,NORM,1100500
20810,1000500,1957-03-01,1957-12-31,NORM,1100500
20853,1000500,1941-08-20,2000-10-20,NORM,1100500
20892,1000500,2025-05-19,2025-10-31,NORM,1100500
20894,1000500,2025-09-22,2025-10-31,NORM,1100500
20896,1000500,1957-08-21,1983-07-06,NORM,1100500
20909,1000500,1958-04-09,1986-10-01,NORM,1100500
20976,1000500,1957-03-01,1976-06-30,NORM,1100500
20984,1000500,1957-03-01,1991-01-09,NORM,1100500
20992,1000500,1958-04-09,1975-02-05,NORM,1100500
21004,1000500,1957-03-01,2000-06-30,NORM,1100500
21020,1000500,1944-06-07,2003-03-13,NORM,1100500
21020,1000500,2015-03-23,2024-09-20,NORM,1100500
21055,1000500,1957-03-01,1994-09-30,NORM,1100500
21119,1000500,1957-03-01,1987-05-06,NORM,1100500
21124,1000500,2021-06-03,2023-10-17,NORM,1100500
21151,1000500,1957-03-01,1960-12-14,NORM,1100500
21178,1000500,1957-03-01,1975-12-10,NORM,1100500
21178,1000500,1984-07-19,2025-10-31,NORM,1100500
21186,1000500,1957-03-01,2024-07-05,NORM,1100500
21194,1000500,1958-04-23,1976-06-30,NORM,1100500
21207,1000500,1969-05-15,2025-10-31,NORM,1100500
21223,1000500,1958-06-04,1959-12-16,NORM,1100500
21231,1000500,1957-03-01,1976-06-30,NORM,1100500
21266,1000500,1958-04-09,1967-07-19,NORM,1100500
21274,1000500,1967-04-27,1994-04-15,NORM,1100500
21282,1000500,1973-03-01,1976-06-30,NORM,1100500
21290,1000500,1957-03-01,1964-01-29,NORM,1100500
21290,1000500,1987-03-05,1989-06-28,NORM,1100500
21303,1000500,1957-03-01,1984-07-18,NORM,1100500
21338,1000500,1964-01-23,1973-11-14,NORM,1100500
21346,1000500,1957-03-01,1978-10-04,NORM,1100500
21370,1000500,1945-03-01,1976-06-30,NORM,1100500
21371,1000500,1997-05-27,2025-10-31,NORM,1100500
21397,1000500,1970-04-23,2000-06-16,NORM,1100500
21418,1000500,1957-03-01,1968-09-10,NORM,1100500
21426,1000500,1957-03-01,1961-12-06,NORM,1100500
21434,1000500,1957-03-01,1968-09-10,NORM,1100500
21450,1000500,1981-10-15,1987-07-01,NORM,1100500
21469,1000500,1958-06-04,1966-12-14,NORM,1100500
21485,1000500,1976-01-15,1989-07-26,NORM,1100500
21514,1000500,1957-03-01,1999-10-25,NORM,1100500
21522,1000500,1957-03-01,1986-10-22,NORM,1100500
21530,1000500,1957-03-01,1970-04-22,NORM,1100500
21549,1000500,1957-03-01,1963-09-04,NORM,1100500
21557,1000500,1957-03-01,1987-06-24,NORM,1100500
21573,1000500,1925-12-31,2025-10-31,NORM,1100500
21645,1000500,1957-03-01,1965-02-12,NORM,1100500
21688,1000500,1957-03-01,1959-02-25,NORM,1100500
21709,1000500,1961-01-11,1984-10-03,NORM,1100500
21723,1000500,2025-09-22,2025-10-31,NORM,1100500
21768,1000500,1957-03-01,1984-06-20,NORM,1100500
21776,1000500,1944-06-07,2025-10-31,NORM,1100500
21784,1000500,1957-03-01,1960-04-20,NORM,1100500
21792,1000500,1985-07-25,2025-10-31,NORM,1100500
21821,1000500,1957-03-01,2000-01-28,NORM,1100500
21872,1000500,1957-03-01,1957-08-21,NORM,1100500
21901,1000500,1957-03-01,1965-01-06,NORM,1100500
21928,1000500,1966-12-15,1976-06-30,NORM,1100500
21936,1000500,1957-03-01,2025-10-31,NORM,1100500
21979,1000500,1957-03-01,2009-09-08,NORM,1100500
21979,1000500,2011-11-23,2012-11-30,NORM,1100500
21995,1000500,1957-03-01,1958-06-04,NORM,1100500
21995,1000500,1978-11-24,1985-07-31,NORM,1100500
22007,1000500,1957-03-01,1979-05-02,NORM,1100500
22015,1000500,1957-03-01,1961-02-08,NORM,1100500
22023,1000500,1957-03-01,1992-07-02,NORM,1100500
22032,1000500,2004-12-20,2007-09-06,NORM,1100500
22066,1000500,1986-12-04,2001-11-30,NORM,1100500
22074,1000500,1957-03-01,1965-06-16,NORM,1100500
22082,1000500,1957-03-01,1997-06-18,NORM,1100500
22103,1000500,1965-01-07,2025-10-31,NORM,1100500
22111,1000500,1973-05-31,2025-10-31,NORM,1100500
22138,1000500,1970-03-05,1976-06-30,NORM,1100500
22170,1000500,1957-08-21,1959-03-25,NORM,1100500
22170,1000500,1987-07-02,1988-06-15,NORM,1100500
22189,1000500,1970-08-13,1976-06-30,NORM,1100500
22218,1000500,1958-06-04,1966-12-14,NORM,1100500
22218,1000500,1968-02-01,1976-06-30,NORM,1100500
22242,1000500,1957-03-01,1966-05-25,NORM,1100500
22250,1000500,1979-05-03,1995-05-26,NORM,1100500
22293,1000500,1957-03-01,2025-10-31,NORM,1100500
22306,1000500,1957-03-01,1965-10-13,NORM,1100500
22330,1000500,1957-03-01,1969-03-05,NORM,1100500
22365,1000500,1963-10-31,1965-03-03,NORM,1100500
22381,1000500,1957-03-01,1963-09-04,NORM,1100500
22402,1000500,1953-06-23,1972-02-18,NORM,1100500
22410,1000500,1958-06-04,1966-12-14,NORM,1100500
22410,1000500,1967-06-29,1980-11-05,NORM,1100500
22429,1000500,1957-03-01,1973-05-30,NORM,1100500
22461,1000500,1957-03-01,1970-04-22,NORM,1100500
22488,1000500,1957-03-01,1974-04-10,NORM,1100500
22496,1000500,1957-03-01,1976-06-30,NORM,1100500
22496,1000500,1999-06-22,2000-11-30,NORM,1100500
22509,1000500,1957-03-01,2025-10-31,NORM,1100500
22517,1000500,1995-11-27,2025-10-31,NORM,1100500
22533,1000500,1960-12-14,1979-07-25,NORM,1100500
22541,1000500,1957-03-01,1976-06-30,NORM,1100500
22541,1000500,1995-02-09,2001-11-06,NORM,1100500
22568,1000500,1969-08-07,1988-10-05,NORM,1100500
22592,1000500,1957-03-01,2025-10-31,NORM,1100500
22613,1000500,1966-12-15,1976-06-30,NORM,1100500
22613,1000500,1998-11-03,2000-08-18,NORM,1100500
22621,1000500,1957-03-01,1959-07-29,NORM,1100500
22623,1000500,2022-02-02,2025-10-31,NORM,1100500
22648,1000500,1957-03-01,1984-02-29,NORM,1100500
22680,1000500,1954-04-20,2000-06-28,NORM,1100500
22699,1000500,1957-03-01,1965-06-16,NORM,1100500
22728,1000500,1957-03-01,1985-11-13,NORM,1100500
22752,1000500,1957-03-01,2025-10-31,NORM,1100500
22753,1000500,1987-02-12,1998-04-07,NORM,1100500
22760,1000500,1957-03-01,1988-07-13,NORM,1100500
22779,1000500,1957-03-01,2025-10-31,NORM,1100500
22787,1000500,1957-03-01,1970-03-18,NORM,1100500
22808,1000500,1957-03-01,1968-01-17,NORM,1100500
22840,1000500,1981-09-10,2012-06-28,NORM,1100500
22859,1000500,1947-02-26,1976-06-30,NORM,1100500
22875,1000500,1957-03-01,1962-02-14,NORM,1100500
22891,1000500,1957-03-01,1976-12-08,NORM,1100500
22891,1000500,1982-06-17,1998-08-13,NORM,1100500
22920,1000500,1963-01-31,1973-02-28,NORM,1100500
22939,1000500,1968-09-12,1969-05-14,NORM,1100500
22947,1000500,1947-02-26,1976-06-30,NORM,1100500
22947,1000500,1994-10-25,2006-03-31,NORM,1100500
22976,1000500,2022-04-11,2025-10-31,NORM,1100500
23018,1000500,1957-03-01,1974-10-16,NORM,1100500
23026,1000500,1957-07-10,2025-10-31,NORM,1100500
23050,1000500,1957-03-01,1982-06-30,NORM,1100500
23077,1000500,1957-03-01,2013-06-06,NORM,1100500
23085,1000500,2009-01-02,2018-12-31,NORM,1100500
23114,1000500,1989-08-24,2012-06-29,NORM,1100500
23130,1000500,1953-06-22,1958-06-04,NORM,1100500
23130,1000500,1959-12-16,1980-12-10,NORM,1100500
23165,1000500,1957-03-01,1960-03-23,NORM,1100500
23173,1000500,1957-03-01,1957-12-04,NORM,1100500
23210,1000500,1947-07-16,1976-06-30,NORM,1100500
23229,1000500,1947-02-26,1976-06-30,NORM,1100500
23229,1000500,1999-05-03,2025-10-31,NORM,1100500
23237,1000500,1957-03-01,1970-12-16,NORM,1100500
23253,1000500,1962-02-01,1974-10-16,NORM,1100500
23253,1000500,1982-10-21,1990-08-13,NORM,1100500
23288,1000500,1963-03-14,1964-07-15,NORM,1100500
23296,1000500,1957-03-01,1967-05-17,NORM,1100500
23309,1000500,1970-04-23,2007-10-24,NORM,1100500
23317,1000500,1951-09-06,2001-11-29,NORM,1100500
23318,1000500,2000-11-24,2006-04-19,NORM,1100500
23325,1000500,1957-03-01,1984-11-21,NORM,1100500
23341,1000500,1957-03-01,1994-09-26,NORM,1100500
23384,1000500,1957-03-01,1965-03-03,NORM,1100500
23393,1000500,2015-12-29,2025-10-31,NORM,1100500
23421,1000500,1950-07-03,1988-05-11,NORM,1100500
23448,1000500,1957-03-01,1983-05-19,NORM,1100500
23456,1000500,1957-03-01,1968-01-17,NORM,1100500
23464,1000500,1957-03-01,1981-12-09,NORM,1100500
23473,1000500,1997-12-18,2025-10-31,NORM,1100500
23480,1000500,1968-01-04,1968-07-30,NORM,1100500
23499,1000500,1957-03-01,1983-11-30,NORM,1100500
23501,1000500,2007-11-09,2016-03-29,NORM,1100500
23528,1000500,1957-03-01,1969-03-26,NORM,1100500
23536,1000500,1958-02-19,1983-11-30,NORM,1100500
23536,1000500,2008-10-31,2025-10-31,NORM,1100500
23552,1000500,1963-01-17,1994-04-05,NORM,1100500
23568,1000500,2022-12-15,2022-12-16,NORM,1100500
23570,1000500,2023-01-04,2025-10-31,NORM,1100500
23579,1000500,1963-10-17,1970-04-22,NORM,1100500
23579,1000500,1978-10-05,2025-10-31,NORM,1100500
23587,1000500,1953-06-22,1972-09-27,NORM,1100500
23616,1000500,1960-02-03,1961-09-06,NORM,1100500
23660,1000500,2001-03-01,2025-10-31,NORM,1100500
23675,1000500,1953-06-22,1958-06-04,NORM,1100500
23683,1000500,1957-03-01,1975-06-11,NORM,1100500
23712,1000500,1948-07-07,2025-10-31,NORM,1100500
23720,1000500,1957-03-01,1976-06-30,NORM,1100500
23747,1000500,1957-03-01,1957-08-21,NORM,1100500
23800,1000500,1965-01-07,1976-12-08,NORM,1100500
23819,1000500,1957-03-01,2025-10-31,NORM,1100500
23851,1000500,1957-03-01,2000-06-15,NORM,1100500
23876,1000500,2023-08-25,2025-10-31,NORM,1100500
23878,1000500,1961-06-07,1968-04-03,NORM,1100500
23886,1000500,1957-03-01,1973-05-30,NORM,1100500
23887,1000500,2001-02-27,2017-03-17,NORM,1100500
23894,1000500,1957-03-01,1975-12-10,NORM,1100500
23907,1000500,1957-03-01,1964-02-19,NORM,1100500
23915,1000500,1964-02-20,2005-12-19,NORM,1100500
23931,1000500,1949-07-06,2025-10-31,NORM,1100500
23942,1000500,2023-07-03,2023-07-05,NORM,1100500
23944,1000500,2023-07-05,2023-07-05,NORM,1100500
23990,1000500,1982-09-16,2009-04-01,NORM,1100500
24002,1000500,1957-03-01,1976-06-30,NORM,1100500
24010,1000500,1957-03-01,2025-10-31,NORM,1100500
24037,1000500,1957-03-01,1982-01-13,NORM,1100500
24046,1000500,1997-09-02,2008-07-30,NORM,1100500
24053,1000500,2018-06-05,2025-10-31,NORM,1100500
24061,1000500,1951-09-06,1966-12-14,NORM,1100500
24088,1000500,1957-03-01,1976-06-30,NORM,1100500
24096,1000500,1957-03-01,1976-06-30,NORM,1100500
24109,1000500,1951-09-06,2025-10-31,NORM,1100500
24141,1000500,1957-03-01,1985-05-22,NORM,1100500
24174,1000500,2023-10-02,2025-10-31,NORM,1100500
24175,1000500,2023-10-02,2023-10-02,NORM,1100500
24176,1000500,1957-03-01,1966-10-05,NORM,1100500
24184,1000500,1957-03-01,2002-01-31,NORM,1100500
24192,1000500,1976-07-01,1994-10-24,NORM,1100500
24205,1000500,1976-07-01,2025-10-31,NORM,1100500
24221,1000500,1930-01-06,1931-11-16,NORM,1100500
24221,1000500,1957-03-01,2012-03-13,NORM,1100500
24264,1000500,1957-03-01,2002-07-19,NORM,1100500
24272,1000500,1989-08-03,2008-11-13,NORM,1100500
24328,1000500,1957-03-01,1976-06-30,NORM,1100500
24328,1000500,2008-12-19,2018-11-12,NORM,1100500
24328,1000500,2022-10-03,2025-10-31,NORM,1100500
24336,1000500,1957-03-01,1976-03-03,NORM,1100500
24360,1000500,2000-08-21,2007-08-24,NORM,1100500
24387,1000500,1960-02-24,1965-06-16,NORM,1100500
24459,1000500,1957-03-01,2017-02-28,NORM,1100500
24504,1000500,1957-03-01,1968-07-30,NORM,1100500
24539,1000500,1957-03-01,2001-08-02,NORM,1100500
24555,1000500,1957-03-01,1982-10-06,NORM,1100500
24563,1000500,1957-03-01,2007-10-09,NORM,1100500
24571,1000500,1957-03-01,1982-12-08,NORM,1100500
24619,1000500,1957-03-01,1960-12-14,NORM,1100500
24627,1000500,1954-06-07,1974-09-11,NORM,1100500
24627,1000500,1978-08-24,1982-12-29,NORM,1100500
24635,1000500,1957-03-01,1988-11-02,NORM,1100500
24643,1000500,1957-03-01,2025-10-31,NORM,1100500
24651,1000500,1968-06-13,1976-06-30,NORM,1100500
24678,1000500,1957-03-01,2000-06-20,NORM,1100500
24707,1000500,1957-03-01,1984-04-11,NORM,1100500
24715,1000500,1984-10-04,1995-03-30,NORM,1100500
24766,1000500,1985-06-13,2025-10-31,NORM,1100500
24803,1000500,1957-03-01,2004-12-02,NORM,1100500
24811,1000500,1957-03-01,2000-09-29,NORM,1100500
24854,1000500,1957-03-01,1978-04-12,NORM,1100500
24877,1000500,2024-04-01,2025-10-31,NORM,1100500
24878,1000500,2024-04-02,2025-10-31,NORM,1100500
24889,1000500,1962-02-07,1968-01-03,NORM,1100500
24942,1000500,1957-03-01,2020-04-03,NORM,1100500
24985,1000500,1966-12-15,1976-06-30,NORM,1100500
24985,1000500,1991-09-20,2025-10-31,NORM,1100500
24993,1000500,1957-03-01,1964-02-26,NORM,1100500
25005,1000500,1957-03-01,1996-09-27,NORM,1100500
25013,1000500,1957-03-01,2009-11-03,NORM,1100500
25022,1000500,1987-10-08,1993-12-10,NORM,1100500
25056,1000500,1957-03-01,1997-08-05,NORM,1100500
25072,1000500,1957-03-01,1976-06-30,NORM,1100500
25081,1000500,1995-12-01,2024-06-21,NORM,1100500
25099,1000500,2007-02-22,2015-06-30,NORM,1100500
25128,1000500,1957-03-01,1965-01-06,NORM,1100500
25136,1000500,1957-03-01,1958-02-19,NORM,1100500
25144,1000500,1966-12-15,1976-06-30,NORM,1100500
25146,1000500,2024-07-08,2025-10-31,NORM,1100500
25160,1000500,1985-02-07,1990-03-06,NORM,1100500
25179,1000500,1958-06-11,1961-01-11,NORM,1100500
25187,1000500,1957-03-01,1961-10-25,NORM,1100500
25195,1000500,1957-03-01,1976-09-22,NORM,1100500
25216,1000500,1979-07-26,1985-04-10,NORM,1100500
25232,1000500,1957-03-01,2001-08-29,NORM,1100500
25232,1000500,2010-03-15,2025-10-31,NORM,1100500
25267,1000500,1957-03-01,2002-07-19,NORM,1100500
25320,1000500,1957-03-01,2025-10-31,NORM,1100500
25339,1000500,1960-10-26,1966-01-05,NORM,1100500
25371,1000500,1957-03-01,1996-03-12,NORM,1100500
25419,1000500,1959-04-01,2024-03-15,NORM,1100500
25434,1000500,2024-09-30,2024-12-20,NORM,1100500
25478,1000500,1964-01-16,1987-08-19,NORM,1100500
25487,1000500,1995-05-01,2006-07-31,NORM,1100500
25507,1000500,1984-07-19,1986-07-23,NORM,1100500
25515,1000500,1963-09-19,1976-01-14,NORM,1100500
25574,1000500,1960-12-14,1984-02-29,NORM,1100500
25582,1000500,1957-03-01,1963-03-13,NORM,1100500
25582,1000500,1980-06-26,1999-11-05,NORM,1100500
25582,1000500,2008-09-22,2025-10-31,NORM,1100500
25590,1000500,1972-09-28,1976-06-30,NORM,1100500
25611,1000500,1957-03-01,1966-10-05,NORM,1100500
25611,1000500,1984-06-28,1985-12-11,NORM,1100500
25646,1000500,1957-03-01,1967-07-12,NORM,1100500
25646,1000500,1988-02-11,1994-09-26,NORM,1100500
25662,1000500,1957-03-01,1982-09-15,NORM,1100500
25670,1000500,1959-05-27,1960-12-14,NORM,1100500
25689,1000500,1957-03-01,1972-09-20,NORM,1100500
25697,1000500,1957-03-01,1974-10-16,NORM,1100500
25697,1000500,1977-03-03,1982-03-10,NORM,1100500
25718,1000500,1963-03-14,1982-04-07,NORM,1100500
25742,1000500,1960-04-20,1960-12-28,NORM,1100500
25769,1000500,1984-10-04,2006-08-10,NORM,1100500
25778,1000500,1987-07-09,2018-11-05,NORM,1100500
25785,1000500,1957-03-01,2025-10-31,NORM,1100500
25873,1000500,1965-11-04,1984-10-24,NORM,1100500
25902,1000500,1965-01-07,1973-05-30,NORM,1100500
25910,1000500,1960-12-28,1994-06-30,NORM,1100500
25953,1000500,1985-10-24,2025-10-31,NORM,1100500
25988,1000500,1967-05-18,1985-11-20,NORM,1100500
26075,1000500,1966-09-29,2000-11-01,NORM,1100500
26112,1000500,1968-02-01,2005-08-18,NORM,1100500
26120,1000500,1963-01-17,1983-03-09,NORM,1100500
26155,1000500,1966-06-23,1976-03-17,NORM,1100500
26286,1000500,1976-09-23,1989-08-02,NORM,1100500
26294,1000500,1959-03-25,1974-10-16,NORM,1100500
26294,1000500,1978-10-05,1994-03-17,NORM,1100500
26307,1000500,1979-01-11,1979-12-26,NORM,1100500
26323,1000500,1959-07-29,1967-05-17,NORM,1100500
26332,1000500,2001-04-02,2004-02-26,NORM,1100500
26366,1000500,1958-04-09,1976-05-05,NORM,1100500
