permno,indno,mbrstartdt,mbrenddt,mbrflg,indfam
11543,1000500,1957-03-01,1971-08-18,NORM,1100500
11552,1000500,2006-11-06,2019-11-20,NORM,1100500
11600,1000500,2008-11-14,2024-04-02,NORM,1100500
11607,1000500,1957-03-01,2006-03-02,NORM,1100500
11618,1000500,2008-09-15,2025-10-31,NORM,1100500
11626,1000500,1993-07-01,1994-09-20,NORM,1100500
11658,1000500,1957-03-01,1979-02-07,NORM,1100500
11666,1000500,1925-12-31,1953-06-22,NORM,1100500
11674,1000500,1925-12-31,2025-10-31,NORM,1100500
11682,1000500,1925-12-31,1928-11-23,NORM,1100500
11690,1000500,1957-03-01,1987-08-19,NORM,1100500
11703,1000500,1957-03-01,2017-08-31,NORM,1100500
11746,1000500,1963-06-27,1973-11-14,NORM,1100500
11754,1000500,1925-12-31,2010-12-17,NORM,1100500
11762,1000500,1957-03-01,2025-10-31,NORM,1100500
11770,1000500,1957-03-01,1963-06-26,NORM,1100500
11786,1000500,2018-03-19,2023-03-14,NORM,1100500
11789,1000500,1931-11-16,1949-07-06,NORM,1100500
11826,1000500,1925-12-31,1944-06-07,NORM,1100500
11826,1000500,1957-03-01,1970-06-24,NORM,1100500
11834,1000500,1944-06-07,1958-06-04,NORM,1100500
11850,1000500,1925-12-31,2025-10-31,NORM,1100500
11891,1000500,2017-07-26,2025-10-31,NORM,1100500
11896,1000500,2000-05-10,2007-09-26,NORM,1100500
11896,1000500,2018-12-03,2021-08-27,NORM,1100500
11949,1000500,1957-03-01,1973-05-30,NORM,1100500
11955,1000500,1998-07-17,2025-10-31,NORM,1100500
11970,1000500,2000-06-01,2007-02-14,NORM,1100500
11976,1000500,1998-10-01,2013-09-10,NORM,1100500
11981,1000500,1957-03-01,1972-09-13,NORM,1100500
11983,1000500,2000-01-31,2003-11-12,NORM,1100500
11990,1000500,2024-06-24,2025-10-31,NORM,1100500
11997,1000500,1993-12-13,2002-11-18,NORM,1100500
12044,1000500,1957-03-01,1970-06-24,NORM,1100500
12052,1000500,1957-03-01,2025-10-31,NORM,1100500
12060,1000500,1925-12-31,1950-06-30,NORM,1100500
12060,1000500,1957-03-01,2025-10-31,NORM,1100500
12062,1000500,2004-11-01,2025-10-31,NORM,1100500
12067,1000500,2000-06-19,2012-06-04,NORM,1100500
12073,1000500,2008-11-13,2022-04-01,NORM,1100500
12076,1000500,2015-07-29,2018-03-16,NORM,1100500
12079,1000500,1925-12-31,2009-06-02,NORM,1100500
12084,1000500,2021-03-22,2025-10-31,NORM,1100500
12095,1000500,1957-03-01,1998-10-06,NORM,1100500
12124,1000500,1957-03-01,1973-08-01,NORM,1100500
12140,1000500,1957-03-01,2012-07-30,NORM,1100500
12167,1000500,1957-03-01,1975-12-10,NORM,1100500
12183,1000500,1925-12-31,1970-03-04,NORM,1100500
12191,1000500,1957-03-01,1968-01-15,NORM,1100500
12212,1000500,1957-03-01,1960-12-28,NORM,1100500
12220,1000500,1957-03-01,1958-06-04,NORM,1100500
12298,1000500,1940-04-15,1944-06-07,NORM,1100500
