0.04000000,0.04000000,0.04000000,0.04000000,0.04000000,0.04000000,0.04000000,0.04000000,0.04000000,0.04000000
0.03999991,0.04000900,0.04001809,0.04002717,0.04003625,0.04004532,0.04005439,0.04006346,0.04007252,0.04008157
0.03999892,0.04001687,0.04003482,0.04005277,0.04007072,0.04008867,0.04010662,0.04012458,0.04014254,0.04016050
0.03999906,0.04002634,0.04005362,0.04008092,0.04010822,0.04013554,0.04016286,0.04019020,0.04021756,0.04024493
0.04000796,0.04004389,0.04007981,0.04011571,0.04015161,0.04018750,0.04022338,0.04025926,0.04029513,0.04033101
0.04000657,0.04005147,0.04009635,0.04014120,0.04018601,0.04023080,0.04027557,0.04032030,0.04036500,0.04040968
0.04000524,0.04005900,0.04011268,0.04016629,0.04021983,0.04027329,0.04032669,0.04038002,0.04043328,0.04048648
0.04000986,0.04007230,0.04013467,0.04019697,0.04025923,0.04032144,0.04038361,0.04044575,0.04050785,0.04056993
0.04001252,0.04008405,0.04015547,0.04022678,0.04029799,0.04036910,0.04044011,0.04051104,0.04058189,0.04065267
0.04001289,0.04009337,0.04017374,0.04025404,0.04033425,0.04041439,0.04049446,0.04057448,0.04065446,0.04073440
0.04001642,0.04010615,0.04019570,0.04028507,0.04037427,0.04046332,0.04055220,0.04064094,0.04072954,0.04081799
0.04001342,0.04011232,0.04021105,0.04030960,0.04040800,0.04050625,0.04060438,0.04070239,0.04080029,0.04089810
0.04001482,0.04012280,0.04023054,0.04033807,0.04044540,0.04055257,0.04065959,0.04076649,0.04087329,0.04098000
0.04001787,0.04013461,0.04025107,0.04036726,0.04048321,0.04059896,0.04071452,0.04082993,0.04094522,0.04106041
0.04000697,0.04013244,0.04025759,0.04038245,0.04050705,0.04063145,0.04075567,0.04087978,0.04100380,0.04112781
0.04000858,0.04014278,0.04027660,0.04041008,0.04054328,0.04067625,0.04080903,0.04094168,0.04107425,0.04120679
0.04000998,0.04015405,0.04029763,0.04044078,0.04058355,0.04072602,0.04086823,0.04101025,0.04115215,0.04129400
0.04000393,0.04015575,0.04030708,0.04045798,0.04060852,0.04075874,0.04090872,0.04105854,0.04120825,0.04135794
0.04000667,0.04016768,0.04032824,0.04048840,0.04064821,0.04080774,0.04096705,0.04112622,0.04128532,0.04144445
0.04000646,0.04017701,0.04034685,0.04051606,0.04068468,0.04085281,0.04102049,0.04118782,0.04135486,0.04152171
0.04001044,0.04018986,0.04036855,0.04054658,0.04072402,0.04090095,0.04107745,0.04125358,0.04142945,0.04160515
0.04002001,0.04020863,0.04039645,0.04058354,0.04076998,0.04095584,0.04114121,0.04132616,0.04151080,0.04169522
0.04002440,0.04022195,0.04041855,0.04061429,0.04080924,0.04100349,0.04119711,0.04139019,0.04158281,0.04177506
0.04001976,0.04022557,0.04043033,0.04063411,0.04083697,0.04103898,0.04124022,0.04144076,0.04164068,0.04184005
0.04002342,0.04023835,0.04045216,0.04066495,0.04087680,0.04108782,0.04129810,0.04150774,0.04171683,0.04192548
0.04002599,0.04024930,0.04047142,0.04069243,0.04091244,0.04113159,0.04134999,0.04156778,0.04178509,0.04200207
0.04003128,0.04026306,0.04049354,0.04072285,0.04095116,0.04117862,0.04140536,0.04163155,0.04185734,0.04208287
0.04004198,0.04028200,0.04052059,0.04075788,0.04099403,0.04122917,0.04146347,0.04169707,0.04193015,0.04216287
0.04004904,0.04029663,0.04054255,0.04078694,0.04102994,0.04127172,0.04151243,0.04175223,0.04199132,0.04222987
0.04005092,0.04030686,0.04056111,0.04081381,0.04106511,0.04131516,0.04156413,0.04181218,0.04205947,0.04230619
