1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
0.99798742,0.99807787,0.99816828,0.99825865,0.99834899,0.99843930,0.99852957,0.99861981,0.99871002,0.99880019
0.99614837,0.99632773,0.99650698,0.99668611,0.99686513,0.99704404,0.99722283,0.99740152,0.99758011,0.99775858
0.99434762,0.99461696,0.99488605,0.99515491,0.99542353,0.99569192,0.99596008,0.99622800,0.99649569,0.99676315
0.99228502,0.99264222,0.99299894,0.99335517,0.99371091,0.99406616,0.99442092,0.99477519,0.99512896,0.99548224
0.99019630,0.99064484,0.99109269,0.99153986,0.99198636,0.99243219,0.99287738,0.99332191,0.99376581,0.99420906
0.98825690,0.98879161,0.98932533,0.98985807,0.99038985,0.99092069,0.99145062,0.99197965,0.99250779,0.99303506
0.98615509,0.98677526,0.98739429,0.98801220,0.98862902,0.98924476,0.98985947,0.99047314,0.99108581,0.99169748
0.98409095,0.98479961,0.98550688,0.98621279,0.98691737,0.98762065,0.98832264,0.98902337,0.98972285,0.99042112
0.98219982,0.98299895,0.98379593,0.98459084,0.98538373,0.98617467,0.98696372,0.98775093,0.98853636,0.98932005
0.98029528,0.98118118,0.98206492,0.98294658,0.98382621,0.98470386,0.98557958,0.98645344,0.98732547,0.98819574
0.97840517,0.97937730,0.98034713,0.98131471,0.98228010,0.98324334,0.98420449,0.98516358,0.98612066,0.98707579
0.97648762,0.97755492,0.97861860,0.97967874,0.98073538,0.98178858,0.98283839,0.98388485,0.98492802,0.98596794
0.97461119,0.97577046,0.97692580,0.97807723,0.97922478,0.98036846,0.98150831,0.98264435,0.98377660,0.98490509
0.97275613,0.97401012,0.97525942,0.97650404,0.97774398,0.97897926,0.98020991,0.98143593,0.98265737,0.98387425
0.97083890,0.97218644,0.97352795,0.97486344,0.97619291,0.97751638,0.97883385,0.98014534,0.98145088,0.98275048
0.96898350,0.97041907,0.97184801,0.97327028,0.97468589,0.97609481,0.97749706,0.97889263,0.98028154,0.98166378
0.96712722,0.96865689,0.97017899,0.97169353,0.97320052,0.97469998,0.97619190,0.97767631,0.97915320,0.98062259
0.96522867,0.96684356,0.96844978,0.97004730,0.97163612,0.97321622,0.97478760,0.97635025,0.97790416,0.97944934
0.96338951,0.96509414,0.96678936,0.96847519,0.97015166,0.97181880,0.97347662,0.97512513,0.97676433,0.97839423
0.96132170,0.96311743,0.96490247,0.96667682,0.96844048,0.97019344,0.97193570,0.97366724,0.97538803,0.97709806
0.95942577,0.96130807,0.96317874,0.96503775,0.96688510,0.96872078,0.97054474,0.97235696,0.97415739,0.97594595
0.95745947,0.95943413,0.96139602,0.96334524,0.96528187,0.96720599,0.96911767,0.97101695,0.97290387,0.97477843
0.95560433,0.95767045,0.95972333,0.96176301,0.96378956,0.96580302,0.96780343,0.96979085,0.97176530,0.97372681
0.95372011,0.95586375,0.95799263,0.96010681,0.96220635,0.96429132,0.96636179,0.96841784,0.97045955,0.97248698
0.95195026,0.95418345,0.95639997,0.95859992,0.96078341,0.96295055,0.96510145,0.96723622,0.96935498,0.97145784
0.95018255,0.95250854,0.95481604,0.95710527,0.95937646,0.96162981,0.96386551,0.96608372,0.96828463,0.97046837
0.94825649,0.95066554,0.95305492,0.95542491,0.95777574,0.96010758,0.96242061,0.96471496,0.96699071,0.96924796
